	Condition	CorrectSource	Stim_RT	category	Stim	OldNumber	Recognition_ACC	Recognition_RESP	Recognition_RT	Spatial_RESP	Spatial_RT
0	1	8	1.4869999999999999	OLD	vegie_carrot.bmp	Old78	1	1	2.214	8	2068
1	0	6	0.961	New	fruit_rasberry.bmp	New10	0	1	1.383	8	542
2	1	5	1.043	New	kitchen_fork_old.bmp	New18	1	2	2.327	8	542
3	1	5	0.8009999999999999	OLD	food_chocolatemilk.bmp	Old17	1	1	1.354	6	690
4	0	5	1.058	OLD	food_pickle01a.bmp	Old22	1	1	1.2209999999999999	5	531
5	0	6	0.7559999999999999	OLD	vegie_mushroom.bmp	Old76	1	1	1.3330000000000002	5	574
6	1	6	0.6579999999999999	OLD	animal_sheep.bmp	Old11	1	1	3.4539999999999997	6	563
7	1	5	0.91	New	food_walnut01c.bmp	New34	0	1	3.091	5	551
8	0	6	0.674	OLD	fruit_pineapple_old.bmp	Old70	1	1	2.456	8	629
9	1	9	1.129	OLD	animal_camel_new.bmp	Old01	1	1	1.515	8	581
10	0	9	0.629	New	sporting_golf ball.bmp	New19	1	2	2.173	8	581
11	1	6	1.814	OLD	kitchen_white strainer.bmp	Old38	0	2	7.66	8	581
12	0	9	0.754	OLD	sporting_hockey stick_old.bmp	Old58	1	1	2.211	6	858
13	0	5	0.703	New	kitchen_baking spatula.bmp	New01	1	2	1.574	6	858
14	1	8	0.9670000000000001	OLD	animal_penguin.bmp	Old10	1	1	2.678	5	650
15	1	9	0.956	OLD	musical_piano_old.bmp	Old48	1	1	1.175	5	591
16	1	5	1.2770000000000001	OLD	animal_chimpanzee.bmp	Old03	0	2	1.838	5	591
17	1	9	0.9990000000000001	OLD	sporting_rollerblade.bmp	Old62	1	1	1.188	6	875
18	1	5	1.341	OLD	sporting_Badminton Racquet.bmp	Old54	1	1	2.222	8	717
19	1	8	1.5530000000000002	OLD	vegie_garlic01a.bmp	Old74	1	1	1.255	5	443
20	1	8	0.857	New	animal_ostrich.bmp	New26	1	2	1.392	5	443
21	1	9	0.8109999999999999	New	musical_bagpipes.bmp	New35	1	2	1.815	5	443
22	1	8	0.976	OLD	animal_dalmation_old.bmp	Old04	1	1	0.973	6	773
23	1	5	1.26	OLD	kitchen_martini glass.bmp	Old32	1	1	1.117	6	607
24	0	8	0.733	OLD	vegie_green capsicum.bmp	Old75	1	1	1.157	6	614
25	1	8	1.881	New	animal_dolphin_old.bmp	New09	1	2	1.2919999999999998	6	614
26	1	8	1.0190000000000001	OLD	fruit_green grapes.bmp	Old68	1	1	0.8390000000000001	6	1244
27	1	5	0.8290000000000001	OLD	kitchen_plate.bmp	Old35	1	1	1.089	5	669
28	0	8	1.197	OLD	musical_accordion_old.bmp	Old41	1	1	0.809	9	1207
29	1	9	1.008	New	musical_zamponia windflute.bmp	New29	1	2	1.486	9	1207
30	1	9	1.781	OLD	vegie_radish.bmp	Old77	1	1	3.545	8	515
31	1	6	0.685	New	vegie_cucumber.bmp	New33	0	1	1.253	8	602
32	1	8	0.9209999999999999	OLD	food_shellpasta.bmp	Old25	1	1	1.409	5	431
33	1	8	1.219	OLD	vegie_cauliflower.bmp	Old72	1	1	0.9890000000000001	5	404
