	Condition	CorrectSource	Stim_RT	category	Stim	OldNumber	Recognition_ACC	Recognition_RESP	Recognition_RT	Spatial_RESP	Spatial_RT
0	0	6	0.857	OLD	sporting_americanfootball.bmp	Old53	1	1	2.48	6	1804
1	1	8	1.193	New	fruit_apricot_new.bmp	New04	1	2	4.33	6	1804
2	1	5	1.226	OLD	hard_musical_recorder.bmp	Old40	1	1	2.787	8	3067
3	1	5	1.327	OLD	kitchen_big cooking pot.bmp	Old28	1	1	2.43	6	940
4	1	6	2.002	OLD	animal_monarch_old.bmp	Old08	1	1	3.3819999999999997	5	7158
5	1	5	1.219	OLD	kitchen_ladle.bmp	Old31	1	1	2.056	5	2972
6	1	9	1.3	OLD	vegie_cauliflower.bmp	Old72	1	1	2.421	5	2211
7	0	5	1.1079999999999999	OLD	kitchen_plate.bmp	Old35	0	2	4.218	5	2211
8	0	6	0.909	OLD	kitchen_wooden spoon_old.bmp	Old39	1	1	2.929	5	3243
9	0	6	0.809	OLD	fruit_watermelon_old.bmp	Old71	1	1	6.232	6	942
10	0	9	0.862	OLD	sporting_skipping rope.bmp	Old63	1	1	1.768	6	1840
11	1	6	1.189	OLD	musical_acoustic guitar_new.bmp	Old42	1	1	2.398	5	3109
12	1	8	1.5659999999999998	OLD	musical_xylophone_old.bmp	Old52	1	1	1.6640000000000001	9	1621
13	0	9	1.358	OLD	kitchen_peppermill.bmp	Old33	1	1	1.7790000000000001	8	3548
14	1	9	1.247	OLD	fruit_green grapes.bmp	Old68	0	2	5.452999999999999	8	3548
15	1	5	1.795	New	musical_zamponia windflute.bmp	New29	1	2	1.682	8	3548
16	1	9	1.032	New	kitchen_kettle_new.bmp	New24	1	2	2.4290000000000003	8	3548
17	1	5	1.3719999999999999	OLD	kitchen_martini glass.bmp	Old32	1	1	1.618	9	1905
18	1	8	2.005	New	sporting_weighlifting.bmp	New25	1	2	1.484	9	1905
19	1	8	1.08	OLD	fruit_pineapple_old.bmp	Old70	1	1	3.551	6	2065
20	1	9	1.9169999999999998	OLD	musical_double bass.bmp	Old45	1	1	5.349	5	1903
21	1	8	1.466	OLD	fruit_blackberry_new.bmp	Old66	1	1	1.642	9	3783
22	1	5	1.6740000000000002	OLD	animal_zebra_old.bmp	Old13	1	1	1.743	9	505
23	0	5	1.406	New	kitchen_fork_old.bmp	New18	1	2	2.627	9	505
24	0	8	0.847	OLD	food_croissant01.bmp	Old19	0	2	3.625	9	505
25	1	8	0.9670000000000001	New	fruit_cherry.bmp	Old67	1	1	2.544	8	2217
26	1	8	1.568	New	musical_bongo drum.bmp	New23	1	2	1.807	8	2217
27	1	5	1.776	OLD	sporting_Badminton Racquet.bmp	Old54	1	1	1.686	8	602
28	1	9	1.6669999999999998	OLD	vegie_garlic01a.bmp	Old74	1	1	2.089	9	2276
29	1	9	1.392	New	food_pizza.bmp	New22	1	2	1.713	9	2276
30	0	8	1.517	OLD	animal_parrot.bmp	Old09	0	2	4.2589999999999995	9	2276
31	1	6	1.13	OLD	sporting_mini-trampoline.bmp	Old61	1	1	1.8319999999999999	8	614
32	0	9	1.03	OLD	animal_sheep.bmp	Old11	1	1	2.068	5	1984
33	1	8	1.15	OLD	kitchen_scrubbing brush.bmp	Old36	0	2	5.104	5	1984
34	1	8	1.15	New	kitchen_garlic press.bmp	New07	1	2	1.475	5	1984
35	1	9	1.7269999999999999	New	musical_tambourine_new.bmp	New06	1	2	2.6719999999999997	5	1984
36	1	5	1.415	New	animal_ostrich.bmp	New26	1	2	1.42	5	1984
37	1	6	1.588	OLD	vegie_corn02.bmp	Old73	0	2	4.026	5	1984
38	1	9	1.229	OLD	sporting_footballhelmet.bmp	Old57	1	1	2.217	6	2592
39	1	8	1.649	New	vegie_broccoli.bmp	New36	1	2	3.159	6	2592
40	1	6	1.558	New	sporting_golf ball.bmp	New19	1	2	1.7919999999999998	6	2592
41	1	6	1.345	OLD	animal_penguin.bmp	Old10	1	1	2.031	8	1861
42	0	6	1.1740000000000002	New	animal_horse.bmp	New20	1	2	1.226	8	1861
43	1	9	1.022	OLD	vegie_carrot.bmp	Old78	1	1	1.504	6	1315
44	1	8	1.81	OLD	kitchen_coffee pot.bmp	Old29	1	1	2.309	8	3224
45	0	6	1.123	OLD	food_shellpasta.bmp	Old25	1	1	2.15	9	1880
46	1	9	1.2830000000000001	New	sporting_flippers.bmp	New02	1	2	1.7	9	1880
47	1	8	2.444	New	kitchen_toaster_old.bmp	New30	1	2	0.983	9	1880
48	1	9	1.824	New	sporting_basketball_new.bmp	New14	1	2	2.478	9	1880
49	1	6	2.064	New	sporting_windsurf.bmp	New31	1	2	2.323	9	1880
50	1	5	1.0290000000000001	OLD	food_frenchfries.bmp	Old20	1	1	2.1319999999999997	9	1246
51	0	5	0.846	OLD	Kitchen_apron.bmp	Old27	1	1	1.595	6	939
52	1	6	1.05	OLD	food_baguette01.bmp	Old14	1	1	2.068	6	1825
53	0	9	1.05	OLD	sporting_hockey stick_old.bmp	Old58	1	1	2.887	8	915
54	0	8	0.8590000000000001	OLD	sporting_karate clothing.bmp	Old60	1	1	1.429	9	1331
55	0	9	0.887	OLD	sporting_fishing rod.bmp	Old59	1	1	1.5330000000000001	9	1471
56	1	6	1.207	OLD	food_cracker02.bmp	Old18	0	2	6.227	9	1471
57	1	8	0.996	OLD	food_softcheese.bmp	Old24	1	1	1.778	5	1521
58	1	9	1.14	New	animal_seal.bmp	New38	1	2	3.54	5	1521
59	1	5	1.229	New	fruit_rasberry.bmp	New10	1	2	1.645	5	1521
60	1	6	1.349	OLD	food_bottleofredwine01.bmp	Old15	1	1	1.7619999999999998	8	755
61	1	9	1.7009999999999998	OLD	sporting_soccer ball_new.bmp	Old65	1	1	1.764	6	717
62	0	8	1.065	OLD	food_pickle01a.bmp	Old22	1	1	3.799	9	3023
63	1	6	0.9109999999999999	OLD	food_chocolatemilk.bmp	Old17	1	1	2.149	6	1047
64	1	9	1.0190000000000001	New	animal_gorilla.bmp	New15	1	2	3.6919999999999997	6	1047
65	0	5	1.095	New	animal_dolphin_old.bmp	New09	1	2	1.7109999999999999	6	1047
66	0	5	0.84	OLD	musical_piano_old.bmp	Old48	1	1	3.073	9	2566
67	1	6	1.036	New	food_bagel01.bmp	New17	1	2	2.5340000000000003	9	2566
68	0	8	1.176	New	kitchen_baking spatula.bmp	New01	1	2	1.8	9	2566
69	0	9	0.9570000000000001	New	animal_pigeon.bmp	New32	1	2	3.4789999999999996	9	2566
70	1	8	0.8690000000000001	New	animal_giraffe.bmp	New03	1	2	1.371	9	2566
71	1	9	1.27	OLD	animal_frog.bmp	Old06	1	1	2.1069999999999998	8	646
72	0	8	0.982	OLD	vegie_radish.bmp	Old77	1	1	1.555	9	587
73	1	8	0.927	New	musical_french horn_old.bmp	New12	1	2	3.987	9	587
74	1	9	1.175	OLD	animal_dalmation_old.bmp	Old04	1	1	1.379	9	627
75	0	9	1.252	OLD	sporting_boxing_gloves.bmp	Old56	1	1	1.953	8	850
76	0	6	0.812	OLD	kitchen_cookie cutter.bmp	Old30	1	1	1.334	8	696
77	1	5	0.94	OLD	musical_accordion_old.bmp	Old41	1	1	5.4670000000000005	8	704
78	1	8	1.7919999999999998	OLD	musical_harp_new.bmp	Old43	1	1	1.371	6	2459
79	1	5	1.445	OLD	sporting_snow shoes_old.bmp	Old64	1	1	3.464	5	1429
80	0	6	0.925	OLD	sporting_rollerblade.bmp	Old62	1	1	1.187	5	626
81	1	6	0.782	OLD	food_toast.bmp	Old26	0	2	4.584	5	626
82	0	6	0.946	New	vegie_pumpkin.bmp	New21	1	2	2.327	5	626
83	0	9	0.89	OLD	vegie_mushroom.bmp	Old76	0	2	3.858	5	626
84	1	5	1.023	OLD	animal_cheetah.bmp	Old02	1	1	1.6230000000000002	8	605
85	1	6	1.403	OLD	animal_camel_new.bmp	Old01	1	1	1.1159999999999999	6	655
86	1	8	0.871	OLD	musical_drums_old.bmp	Old46	1	1	1.3159999999999998	5	702
87	0	5	0.8079999999999999	New	sporting_baseball bat_new.bmp	New08	1	2	3.065	5	702
88	0	8	0.768	OLD	vegie_green capsicum.bmp	Old75	1	1	2.574	8	630
89	0	9	0.705	New	kitchen_ramekin.bmp	New13	1	2	2.1630000000000003	8	630
90	0	6	0.785	New	food_bread.bmp	New28	1	2	1.412	8	630
91	1	5	0.653	OLD	kitchen_tea cup and saucer.bmp	Old37	0	2	6.53	8	630
92	0	5	1.137	OLD	animal_siamese cat.bmp	Old12	1	1	1.4669999999999999	9	663
93	1	5	1.5219999999999998	New	food_walnut01c.bmp	New34	1	2	2.084	9	663
94	0	5	1.2429999999999999	New	vegie_snowpea01.bmp	New27	1	2	1.255	9	663
95	1	5	1.663	New	musical_uculele_new.bmp	New39	0	1	3.764	5	853
96	1	9	1.043	OLD	animal_farm pig.bmp	Old05	1	1	1.218	6	657
97	1	9	1.984	New	musical_bagpipes.bmp	New35	1	2	1.422	6	657
98	1	5	1.699	OLD	musical_tuba.bmp	Old50	1	1	1.26	8	609
99	1	8	1.824	OLD	kitchen_pitcher.bmp	Old34	1	1	1.952	6	1393
100	0	8	1.141	OLD	musical_triangle.bmp	Old49	1	1	1.665	9	2206
101	1	6	1.669	OLD	fruit_lemon_new.bmp	Old69	0	2	5.763999999999999	9	2206
102	1	6	1.013	OLD	sporting_bicycle_old.bmp	Old55	1	1	2.228	9	547
103	0	8	1.19	OLD	musical_harmonica_new.bmp	Old47	1	1	1.395	9	2002
104	0	6	0.8140000000000001	OLD	food_rawchicken.bmp	Old23	1	1	3.537	5	2923
105	1	5	0.963	New	food_cookie01.bmp	New11	1	2	1.933	5	2923
106	0	5	0.915	OLD	animal_lion_new.bmp	Old07	1	1	1.5590000000000002	5	896
107	1	6	0.743	New	food_drink.bmp	New05	1	2	1.795	5	896
108	1	8	1.595	OLD	musical_violin_old.bmp	Old51	1	1	2.6260000000000003	8	529
109	1	9	1.14	New	vegie_cucumber.bmp	New33	1	2	7.81	8	529
110	1	8	1.5319999999999998	New	kitchen_spatula_old.bmp	New37	1	2	1.953	8	529
111	1	9	0.813	New	fruit_granny smith apple.bmp	New16	1	2	3.05	8	529
112	0	8	0.8420000000000001	OLD	food_candy.bmp	Old16	1	1	3.1830000000000003	8	536
113	0	9	0.765	OLD	food_pecan02.bmp	Old21	1	1	1.665	8	534
114	1	6	1.018	OLD	animal_chimpanzee.bmp	Old03	1	1	2.512	6	755
115	1	5	1.242	OLD	kitchen_white strainer.bmp	Old38	1	1	2.155	8	444
116	1	6	2.0909999999999997	OLD	musical_clarinet_new.bmp	Old44	1	1	1.69	9	605
