	Condition	CorrectSource	Stim_RT	category	Stim	OldNumber	Recognition_ACC	Recognition_RESP	Recognition_RT	Spatial_RESP	Spatial_RT
0	1	8	1.84	New	fruit_granny smith apple.bmp	New16	0	1	10.425	5	2421
1	0	6	1.3940000000000001	New	food_cookie01.bmp	New11	1	2	2.944	5	2421
2	1	5	0.39399999999999996	OLD	food_cracker02.bmp	Old18	1	1	1.95	9	1717
3	1	5	0.395	New	animal_ostrich.bmp	New26	1	2	3.1010000000000004	9	1717
4	0	5	0.395	OLD	animal_chimpanzee.bmp	Old03	1	1	1.925	5	1631
5	0	6	1.396	OLD	musical_acoustic guitar_new.bmp	Old42	1	1	2.7460000000000004	5	5443
6	1	6	1.067	OLD	sporting_rollerblade.bmp	Old62	1	1	2.478	6	913
7	1	5	1.396	New	animal_dolphin_old.bmp	New09	1	2	1.8319999999999999	6	913
8	0	6	0.9590000000000001	OLD	sporting_bicycle_old.bmp	Old55	1	1	2.2840000000000003	6	784
9	1	9	1.396	OLD	food_rawchicken.bmp	Old23	1	1	2.294	6	753
10	0	9	0.833	OLD	Kitchen_apron.bmp	Old27	1	1	2.016	9	742
11	1	6	0.897	New	animal_horse.bmp	New20	1	2	2.077	9	742
12	0	9	0.397	New	kitchen_garlic press.bmp	New07	1	2	2.165	9	742
13	0	5	0.6679999999999999	OLD	animal_camel_new.bmp	Old01	1	1	1.659	5	775
14	1	8	0.897	OLD	kitchen_pitcher.bmp	Old34	1	1	1.868	5	1008
15	1	9	1.8980000000000001	OLD	animal_farm pig.bmp	Old05	1	1	1.91	8	552
16	1	5	1.8980000000000001	New	musical_zamponia windflute.bmp	New29	1	2	2.214	8	552
17	1	9	0.898	OLD	vegie_carrot.bmp	Old78	1	1	1.746	8	554
18	1	5	0.899	New	food_bread.bmp	New28	1	2	2.833	8	554
19	1	8	0.858	OLD	vegie_cauliflower.bmp	Old72	1	1	1.8519999999999999	6	1681
20	1	8	1.034	OLD	fruit_watermelon_old.bmp	Old71	1	1	1.666	6	942
21	1	9	0.9179999999999999	New	food_pizza.bmp	New22	1	2	2.045	6	942
22	1	8	0.9	OLD	food_candy.bmp	Old16	1	1	1.824	9	1421
23	1	5	0.975	OLD	kitchen_martini glass.bmp	Old32	1	1	1.712	6	818
24	0	8	0.401	New	animal_gorilla.bmp	New15	1	2	2.687	6	818
25	1	8	1.4	OLD	musical_double bass.bmp	Old45	1	1	3.177	9	1200
26	1	8	1.218	OLD	musical_tuba.bmp	Old50	1	1	1.7480000000000002	5	965
27	1	5	0.401	OLD	vegie_garlic01a.bmp	Old74	1	1	1.61	8	512
28	0	8	0.857	OLD	vegie_radish.bmp	Old77	1	1	1.767	5	887
29	1	9	1.062	OLD	fruit_pineapple_old.bmp	Old70	1	1	1.4480000000000002	6	453
30	1	9	0.902	OLD	hard_musical_recorder.bmp	Old40	1	1	2.103	5	689
31	1	6	0.40299999999999997	OLD	kitchen_big cooking pot.bmp	Old28	1	1	1.409	6	487
32	1	8	1.133	New	fruit_rasberry.bmp	New10	1	2	6.176	6	487
33	1	8	0.904	OLD	kitchen_tea cup and saucer.bmp	Old37	1	1	1.694	6	473
34	1	9	1.028	OLD	fruit_green grapes.bmp	Old68	1	1	1.226	6	632
35	1	5	0.40399999999999997	OLD	animal_siamese cat.bmp	Old12	1	1	1.771	9	2338
36	1	6	0.903	New	vegie_snowpea01.bmp	New27	1	2	1.713	9	2338
37	0	9	0.747	OLD	food_frenchfries.bmp	Old20	1	1	1.521	5	346
38	0	6	0.7609999999999999	OLD	sporting_karate clothing.bmp	Old60	1	1	1.4169999999999998	9	431
39	0	6	0.7190000000000001	New	fruit_cherry.bmp	Old67	1	1	2.074	5	533
40	0	5	0.647	OLD	food_pickle01a.bmp	Old22	1	1	1.3330000000000002	6	375
41	1	9	1.405	OLD	food_softcheese.bmp	Old24	1	1	1.683	5	719
42	1	8	0.8240000000000001	OLD	vegie_corn02.bmp	Old73	1	1	1.4769999999999999	8	425
43	0	9	0.758	OLD	animal_dalmation_old.bmp	Old04	1	1	1.46	5	368
44	1	6	0.628	OLD	food_baguette01.bmp	Old14	1	1	1.222	5	323
45	1	6	0.40700000000000003	OLD	musical_xylophone_old.bmp	Old52	1	1	1.571	5	362
46	1	9	0.7340000000000001	New	animal_pigeon.bmp	New32	1	2	1.744	5	362
47	1	8	0.408	New	musical_uculele_new.bmp	New39	0	1	3.287	6	4480
48	0	8	0.747	OLD	sporting_Badminton Racquet.bmp	Old54	1	1	1.291	5	606
49	1	9	1.31	OLD	musical_violin_old.bmp	Old51	1	1	3.403	9	929
50	0	9	0.408	New	kitchen_spatula_old.bmp	New37	1	2	1.705	9	929
51	0	8	1.145	OLD	fruit_lemon_new.bmp	Old69	1	1	1.249	6	453
52	1	8	1.564	New	vegie_pumpkin.bmp	New21	1	2	1.8319999999999999	6	453
53	1	9	0.8540000000000001	New	vegie_broccoli.bmp	New36	1	2	1.7309999999999999	6	453
